athlete_id,name,born_date,born_city,born_region,born_country,NOC,height_cm,weight_kg,died_date
39663,Dmitry Rozinkevich,1974-10-01,Svetly,Kaliningrad,RUS,Russian Federation,201.0,101.0,N/A
39664,Anton Sema,1978-10-20,N/A,N/A,N/A,Russian Federation,198.0,100.0,N/A
39665,Vladimir Sokolov,1962-08-29,N/A,N/A,N/A,Russian Federation Unified Team,191.0,90.0,N/A
39666,Nikolay Spinev,1974-05-30,Rostov-na-Donu,Rostov,RUS,Russian Federation,191.0,89.0,N/A
39667,Anton Chermashentsev,1976-06-21,Novosibirsk,Novosibirsk,RUS,Russian Federation,192.0,95.0,N/A
39669,Vladimir Volodenkov,1972-04-25,N/A,N/A,N/A,Russian Federation,197.0,98.0,N/A
39682,Luka Špik,1979-02-09,Kranj,Kranj,SLO,Slovenia,196.0,95.0,N/A
39699,Peter Bolliger,1937-05-18,Basel,Basel-Stadt,SUI,Switzerland,191.0,88.0,N/A
39721,René Furler,1949-08-08,N/A,N/A,N/A,Switzerland,191.0,88.0,2013-11-23
39724,Nicolas Gobet,1938-12-28,Chavannes,Vaud,SUI,Switzerland,192.0,98.0,N/A
39729,Jakob Grob,1939-03-28,N/A,N/A,N/A,Switzerland,191.0,85.0,N/A
39735,Alex Homberger,1912-10-26,Schaffhausen,Schaffhausen,SUI,Switzerland,193.0,N/A,2007-04-15
39736,Daniel Homberger,1955-09-03,N/A,N/A,N/A,Switzerland,191.0,86.0,N/A
39740,Marcel Hotz,1966-05-18,N/A,N/A,N/A,Switzerland,193.0,94.0,N/A
39748,Nicolai Kern,1968-10-12,Nebikon,Luzern,SUI,Switzerland,194.0,78.0,N/A
39754,Christoph Küffer,1968-04-08,Obersteckholz,Bern,SUI,Switzerland,191.0,85.0,N/A
39755,Paul Kölliker,1932-02-19,Luzern (Lucerne),Luzern,SUI,Switzerland,199.0,92.0,2021-01-11
39760,Nicolas Lindecker,1947-04-16,N/A,N/A,N/A,Switzerland,192.0,87.0,N/A
39764,Hanspeter Lüthi,1944-04-27,N/A,N/A,N/A,Switzerland,196.0,92.0,N/A
39774,Marc-Sven Nater,1965-03-21,N/A,N/A,N/A,Switzerland,193.0,86.0,N/A
39777,Walter Osterwalder,1934-08-20,Rapperswil,Sankt Gallen,SUI,Switzerland,191.0,84.0,N/A
39781,Peter Rahn,1953-10-12,N/A,N/A,N/A,Switzerland,192.0,90.0,N/A
39784,Franz Rentsch,1943-01-11,Zürich,Zürich,SUI,Switzerland,196.0,93.0,N/A
39792,Bruno Saile,1952-03-01,Affoltern am Albis,Zürich,SUI,Switzerland,194.0,100.0,N/A
39799,Günter Schneider,1963-09-23,N/A,N/A,N/A,Switzerland,198.0,100.0,N/A
39806,Beat Schwerzmann,1966-04-28,N/A,N/A,N/A,Switzerland,195.0,97.0,N/A
39825,Thomas Studhalter,1969-01-05,Horw,Luzern,SUI,Switzerland,193.0,87.0,N/A
39827,Hans-Konrad Trümpler,1960-08-15,N/A,N/A,N/A,Switzerland,194.0,98.0,N/A
39841,Ondrej Hambálek,1973-09-13,Bratislava,Bratislava,SVK,Slovakia,198.0,100.0,N/A
39871,Per-Olof Claesson,1965-01-23,N/A,N/A,N/A,Sweden,193.0,84.0,N/A
39904,Mattias Lindgren,1972-03-30,Mora,Dalarna,SWE,Sweden,200.0,95.0,N/A
39905,Lars-Åke Lindqvist,1959-10-13,Borås,Västra Götaland,SWE,Sweden,201.0,105.0,N/A
39924,Hans Svensson,1955-07-30,Falkenberg,Halland,SWE,Sweden,199.0,103.0,N/A
39936,Tommy Österlund,1966-06-08,N/A,N/A,N/A,Sweden,195.0,92.0,N/A
39968,Petr Blecha,1970-04-24,Praha (Prague),Hlavní město Praha,CZE,Czechoslovakia,192.0,93.0,N/A
39971,Dušan Businský,1968-05-23,Ústí nad Labem,Ústecký kraj,CZE,Czechoslovakia,193.0,89.0,N/A
39977,Milan Doleček,1957-11-30,Praha (Prague),Hlavní město Praha,CZE,Czechoslovakia,194.0,96.0,N/A
39981,Ladislav Heythum,1950-05-22,Praha (Prague),Hlavní město Praha,CZE,Czechoslovakia,191.0,90.0,N/A
39982,Martin Hladík,1953-08-16,Praha (Prague),Hlavní město Praha,CZE,Czechoslovakia,193.0,90.0,N/A
39985,Ondřej Holeček,1973-10-14,Praha (Prague),Hlavní město Praha,CZE,Czechoslovakia,193.0,92.0,N/A
39992,Vladimír Jánoš,1945-11-23,Praha (Prague),Hlavní město Praha,CZE,Czechoslovakia,192.0,89.0,N/A
39997,Jan Kabrhel,1960-12-13,Pardubice,Pardubický kraj,CZE,Czechoslovakia,194.0,92.0,N/A
40025,Pavel Lůžek,1964-04-03,Ústí nad Labem,Ústecký kraj,CZE,Czechoslovakia,195.0,95.0,N/A
40026,Dušan Macháček,1966-10-07,Praha (Prague),Hlavní město Praha,CZE,Czechoslovakia,191.0,90.0,N/A
40029,Otakar Mareček,1943-06-14,Praha (Prague),Hlavní město Praha,CZE,Czechoslovakia,192.0,92.0,2020-01-25
40035,Ivan Miluška,1946-03-23,Brno,Jihomoravský kraj,CZE,Czechoslovakia,191.0,88.0,N/A
40040,Karel Neffe,1948-07-06,Praha (Prague),Hlavní město Praha,CZE,Czechoslovakia,194.0,92.0,2020-02-13
40045,Jiří Palko,1941-03-17,Praha (Prague),Hlavní město Praha,CZE,Czechoslovakia,194.0,88.0,2014-02-02
40048,Zdeněk Pecka,1954-02-06,Litoměřice,Ústecký kraj,CZE,Czechoslovakia,193.0,88.0,N/A
40050,Pavel Pevný,1958-07-14,Brno,Jihomoravský kraj,CZE,Czechoslovakia,191.0,88.0,N/A
40051,Josef Plamínek,1954-06-12,Ústí nad Labem,Ústecký kraj,CZE,Czechoslovakia,195.0,94.0,N/A
40054,Josef Pokorný,1955-12-28,Praha (Prague),Hlavní město Praha,CZE,Czechoslovakia,196.0,91.0,N/A
